clade_membership	frequency	projected_frequency	optimal_projected_frequency	n_strains	observed_frequency	future_n_strains	forecast_error	absolute_forecast_error	optimal_forecast_error	optimal_absolute_forecast_error	sample	timepoint	future_timepoint	delta_month	delay_type
A.6.6	0.147174	0.13355657385719416	0.06879200030107199	98	0.06879199999999999	89	-0.06476457385719417	0.06476457385719417	-3.010720006635381e-10	3.010720006635381e-10	h3n2_ideal_delay	2011-04-01	2011-07-01	3.0	ideal
A.6.6.2	0.014262	0.0110253896546492	0.003412000078242102	10	0.0034119999999999997	7	-0.007613389654649199	0.007613389654649199	-7.824210246712426e-11	7.824210246712426e-11	h3n2_ideal_delay	2011-04-01	2011-07-01	3.0	ideal
A.6.6.2.1	0.00997	0.0080762260817135	0.003197000085492502	8	0.0031969999999999998	6	-0.004879226081713499	0.004879226081713499	-8.549250240033612e-11	8.549250240033612e-11	h3n2_ideal_delay	2011-04-01	2011-07-01	3.0	ideal
A.6.6.3	0.129623	0.12108491945839119	0.061452000115422484	86	0.061452	80	-0.059632919458391186	0.059632919458391186	-1.1542248407048206e-10	1.1542248407048206e-10	h3n2_ideal_delay	2011-04-01	2011-07-01	3.0	ideal
A.6.6.3.2	0.030130999999999998	0.022713492645996057	0.022143000504001798	13	0.022143	20	-0.0005704926459960576	0.0005704926459960576	-5.040017986290835e-10	5.040017986290835e-10	h3n2_ideal_delay	2011-04-01	2011-07-01	3.0	ideal
A.6.6.3.3	0.091889	0.09349887944012544	0.03885399960654411	65	0.038854	58	-0.05464487944012544	0.05464487944012544	3.9345589286643445e-10	3.9345589286643445e-10	h3n2_ideal_delay	2011-04-01	2011-07-01	3.0	ideal
A.6.8	0.851056	0.8652659166491513	0.9311669214830494	530	0.931167	523	0.06590108335084865	0.06590108335084865	7.851695060789865e-08	7.851695060789865e-08	h3n2_ideal_delay	2011-04-01	2011-07-01	3.0	ideal
A.6.8.1	0.065216	0.04857891545049101	0.033464001904576095	62	0.027952	32	-0.02062691545049101	0.02062691545049101	-0.005512001904576094	0.005512001904576094	h3n2_ideal_delay	2011-04-01	2011-07-01	3.0	ideal
A.6.8.2	0.014355	0.009283542799608292	0.000491000009787818	10	0.000491	6	-0.008792542799608291	0.008792542799608291	-9.78781801701939e-12	9.78781801701939e-12	h3n2_ideal_delay	2011-04-01	2011-07-01	3.0	ideal
A.6.8.3	0.045457	0.03711363057127997	0.020506002299953	20	0.020506	24	-0.01660763057127997	0.01660763057127997	-2.299952998885413e-09	2.299952998885413e-09	h3n2_ideal_delay	2011-04-01	2011-07-01	3.0	ideal
A.6.8.4	0.5807100000000001	0.6622325901332156	0.40416393821578506	345	0.404652	311	-0.25758059013321555	0.25758059013321555	0.00048806178421495483	0.00048806178421495483	h3n2_ideal_delay	2011-04-01	2011-07-01	3.0	ideal
A.6.8.4.1	0.033555	0.041059946377268584	0.041905002175553596	11	0.041798999999999996	24	0.0007390536227314115	0.0007390536227314115	-0.00010600217555360031	0.00010600217555360031	h3n2_ideal_delay	2011-04-01	2011-07-01	3.0	ideal
A.6.8.4.2	0.040526	0.0446438242985594	0.008078000424575075	14	0.008078	17	-0.036565824298559396	0.036565824298559396	-4.245750747505772e-10	4.245750747505772e-10	h3n2_ideal_delay	2011-04-01	2011-07-01	3.0	ideal
A.6.8.4.3	0.032447000000000004	0.0328068749352509	0.008844999942084401	17	0.008439	15	-0.024367874935250895	0.024367874935250895	-0.0004059999420844007	0.0004059999420844007	h3n2_ideal_delay	2011-04-01	2011-07-01	3.0	ideal
A.6.8.4.5	0.00045000000000000004	0.00035782801646999033	0.0	10	0.0	0	-0.00035782801646999033	0.00035782801646999033	0.0	0.0	h3n2_ideal_delay	2011-04-01	2011-07-01	3.0	ideal
A.6.8.4.6	0.032545	0.0370465452203772	0.0810759864834835	9	0.075456	27	0.03840945477962279	0.03840945477962279	-0.005619986483483511	0.005619986483483511	h3n2_ideal_delay	2011-04-01	2011-07-01	3.0	ideal
A.6.8.4.7	0.121365	0.12419952802047388	0.1482929665889963	93	0.148293	86	0.024093471979526132	0.024093471979526132	3.341100371367922e-08	3.341100371367922e-08	h3n2_ideal_delay	2011-04-01	2011-07-01	3.0	ideal
A.6.8.5	0.068174	0.04846308372790187	0.4498779804171131	34	0.449878	111	0.40141491627209813	0.40141491627209813	1.958288692316401e-08	1.958288692316401e-08	h3n2_ideal_delay	2011-04-01	2011-07-01	3.0	ideal
A.6.8.5.1	0.035949	0.03046287196396711	0.040707995668526356	18	0.040708	18	0.010245128036032891	0.010245128036032891	4.331473645036166e-09	4.331473645036166e-09	h3n2_ideal_delay	2011-04-01	2011-07-01	3.0	ideal
A.6.8.5.2	0.028716	0.0151937867420526	0.1236539932433514	8	0.409132	92	0.3939382132579474	0.3939382132579474	0.2854780067566486	0.2854780067566486	h3n2_ideal_delay	2011-04-01	2011-07-01	3.0	ideal
A.6.8.5.2.4	0.013047	0.0068393178757463	0.10678699286654579	4	0.106787	29	0.0999476821242537	0.0999476821242537	7.133454216212698e-09	7.133454216212698e-09	h3n2_ideal_delay	2011-04-01	2011-07-01	3.0	ideal
A.6.8.5.2.4.1	0.00275	0.0010958631493042	0.005458999890834	1	0.005459	2	0.0043631368506958	0.0043631368506958	1.0916600002436327e-10	1.0916600002436327e-10	h3n2_ideal_delay	2011-04-01	2011-07-01	3.0	ideal
A.6	0.99998	0.9999999999999813	0.9999829238231506	465	0.999983	614	-1.699999998139301e-05	1.699999998139301e-05	7.617684938399094e-08	7.617684938399094e-08	h3n2_realistic_delay	2011-04-01	2011-07-01	3.0	realistic
A.6.6	0.11891000000000002	0.11215080735349127	0.06879199869308573	70	0.06879199999999999	89	-0.04335880735349128	0.04335880735349128	1.3069142573707282e-09	1.3069142573707282e-09	h3n2_realistic_delay	2011-04-01	2011-07-01	3.0	realistic
A.6.6.1	1.9e-05	1.446376610500629e-05	0.0	1	0.0	0	-1.446376610500629e-05	1.446376610500629e-05	0.0	0.0	h3n2_realistic_delay	2011-04-01	2011-07-01	3.0	realistic
A.6.6.2	0.007194000000000001	0.0054132400920299	0.007188000105088522	5	0.0034119999999999997	7	-0.0020012400920299002	0.0020012400920299002	-0.0037760001050885224	0.0037760001050885224	h3n2_realistic_delay	2011-04-01	2011-07-01	3.0	realistic
A.6.6.2.1	0.005727	0.0042966005600701	0.0031970002164598216	4	0.0031969999999999998	6	-0.0010996005600701002	0.0010996005600701002	-2.164598218550029e-10	2.164598218550029e-10	h3n2_realistic_delay	2011-04-01	2011-07-01	3.0	realistic
A.6.6.3	0.11152200000000001	0.10659425673415482	0.06145199859474751	61	0.061452	80	-0.04514225673415482	0.04514225673415482	1.4052524907604003e-09	1.4052524907604003e-09	h3n2_realistic_delay	2011-04-01	2011-07-01	3.0	realistic
A.6.6.3.1	2.3e-05	1.7548396903767236e-05	0.0	1	0.0	0	-1.7548396903767236e-05	1.7548396903767236e-05	0.0	0.0	h3n2_realistic_delay	2011-04-01	2011-07-01	3.0	realistic
A.6.6.3.2	0.028310000000000002	0.019055492524263182	0.0221429993398486	9	0.022143	20	0.0030875074757368177	0.0030875074757368177	6.60151398823583e-10	6.60151398823583e-10	h3n2_realistic_delay	2011-04-01	2011-07-01	3.0	realistic
A.6.6.3.3	0.079907	0.08504963534070109	0.03885399925002233	45	0.038854	58	-0.04619563534070109	0.04619563534070109	7.499776702446503e-10	7.499776702446503e-10	h3n2_realistic_delay	2011-04-01	2011-07-01	3.0	realistic
A.6.8	0.8786820000000001	0.8862591418683498	0.9311669251292161	394	0.931167	523	0.04490785813165021	0.04490785813165021	7.487078390600033e-08	7.487078390600033e-08	h3n2_realistic_delay	2011-04-01	2011-07-01	3.0	realistic
A.6.8.1	0.08897200000000001	0.07446853844011665	0.03821600247465522	48	0.027952	32	-0.04651653844011665	0.04651653844011665	-0.010264002474655216	0.010264002474655216	h3n2_realistic_delay	2011-04-01	2011-07-01	3.0	realistic
A.6.8.2	0.022896	0.014461766564124663	0.0005600000076810031	9	0.000491	6	-0.013970766564124663	0.013970766564124663	-6.900000768100313e-05	6.900000768100313e-05	h3n2_realistic_delay	2011-04-01	2011-07-01	3.0	realistic
A.6.8.3	0.063459	0.0524925551932003	0.0205060016596688	14	0.020506	24	-0.0319865551932003	0.0319865551932003	-1.6596688016956573e-09	1.6596688016956573e-09	h3n2_realistic_delay	2011-04-01	2011-07-01	3.0	realistic
A.6.8.4	0.5708	0.6538639692144952	0.40416393008035645	252	0.404652	311	-0.24921196921449518	0.24921196921449518	0.0004880699196435634	0.0004880699196435634	h3n2_realistic_delay	2011-04-01	2011-07-01	3.0	realistic
A.6.8.4.1	0.042086	0.0413183602626324	0.04190500218282961	6	0.041798999999999996	24	0.0004806397373675955	0.0004806397373675955	-0.00010600218282961343	0.00010600218282961343	h3n2_realistic_delay	2011-04-01	2011-07-01	3.0	realistic
A.6.8.4.2	0.021098	0.0208227406023021	0.00807799962421986	6	0.008078	17	-0.0127447406023021	0.0127447406023021	3.7578013964423285e-10	3.7578013964423285e-10	h3n2_realistic_delay	2011-04-01	2011-07-01	3.0	realistic
A.6.8.4.3	0.021639000000000002	0.030734341212265398	0.0088450000730517	10	0.008439	15	-0.022295341212265396	0.022295341212265396	-0.0004060000730517002	0.0004060000730517002	h3n2_realistic_delay	2011-04-01	2011-07-01	3.0	realistic
A.6.8.4.5	0.001326	0.001203002285887591	0.0	16	0.0	0	-0.001203002285887591	0.001203002285887591	0.0	0.0	h3n2_realistic_delay	2011-04-01	2011-07-01	3.0	realistic
A.6.8.4.6	0.020416	0.0235482742304885	0.080886997282505	3	0.075456	27	0.0519077257695115	0.0519077257695115	-0.0054309972825049985	0.0054309972825049985	h3n2_realistic_delay	2011-04-01	2011-07-01	3.0	realistic
A.6.8.4.7	0.111838	0.1408941052217713	0.1484819605748268	62	0.148293	86	0.007398894778228721	0.007398894778228721	-0.0001889605748267853	0.0001889605748267853	h3n2_realistic_delay	2011-04-01	2011-07-01	3.0	realistic
A.6.8.5	0.07922399999999999	0.051115511848187946	0.449877990428831	21	0.449878	111	0.39876248815181203	0.39876248815181203	9.571169024003012e-09	9.571169024003012e-09	h3n2_realistic_delay	2011-04-01	2011-07-01	3.0	realistic
A.6.8.5.1	0.040081	0.030328018150968847	0.04070799683267966	12	0.040708	18	0.010379981849031154	0.010379981849031154	3.1673203435000907e-09	3.1673203435000907e-09	h3n2_realistic_delay	2011-04-01	2011-07-01	3.0	realistic
A.6.8.5.2	0.031120999999999996	0.0146506269153351	0.123654002090916	3	0.409132	92	0.3944813730846649	0.3944813730846649	0.285477997909084	0.285477997909084	h3n2_realistic_delay	2011-04-01	2011-07-01	3.0	realistic
A.6.8.5.2.4	0.019096	0.0091384364893986	0.1230100020766258	2	0.106787	29	0.0976485635106014	0.0976485635106014	-0.01622300207662579	0.01622300207662579	h3n2_realistic_delay	2011-04-01	2011-07-01	3.0	realistic
A.6	0.999977	0.99999999999997	0.9999199616595416	692	0.99992	608	-7.999999996999296e-05	7.999999996999296e-05	3.834045847472822e-08	3.834045847472822e-08	h3n2_no_delay	2011-04-01	2011-10-01	6.0	none
A.6.6	0.198316	0.1696150992041074	0.00546699988444724	121	0.0054670000000000005	31	-0.1641480992041074	0.1641480992041074	1.1555276093616618e-10	1.1555276093616618e-10	h3n2_no_delay	2011-04-01	2011-10-01	6.0	none
A.6.6.2	0.016104	0.008218822406323052	0.00025999999343179377	12	4.5e-05	1	-0.008173822406323052	0.008173822406323052	-0.00021499999343179376	0.00021499999343179376	h3n2_no_delay	2011-04-01	2011-10-01	6.0	none
A.6.6.2.1	0.013058	0.007049437657882053	4.5000000682193786e-05	10	4.5e-05	1	-0.007004437657882053	0.007004437657882053	-6.821937830717335e-13	6.821937830717335e-13	h3n2_no_delay	2011-04-01	2011-10-01	6.0	none
A.6.6.3	0.179877	0.16101542294693832	0.005206999891015446	107	0.005207000000000001	29	-0.15580842294693834	0.15580842294693834	1.0898455488767e-10	1.0898455488767e-10	h3n2_no_delay	2011-04-01	2011-10-01	6.0	none
A.6.6.3.2	0.051543	0.034374137680114235	0.004341999863754576	20	0.004342	11	-0.030032137680114236	0.030032137680114236	1.3624542466450507e-10	1.3624542466450507e-10	h3n2_no_delay	2011-04-01	2011-10-01	6.0	none
A.6.6.3.3	0.12293899999999999	0.12480873386438802	0.0008650000272608705	79	0.000865	18	-0.12394373386438802	0.12394373386438802	-2.7260870535776582e-11	2.7260870535776582e-11	h3n2_no_delay	2011-04-01	2011-10-01	6.0	none
A.6.8	0.800419	0.8299267029751456	0.9944529617750943	569	0.994453	577	0.16452629702485444	0.16452629702485444	3.822490568516912e-08	3.822490568516912e-08	h3n2_no_delay	2011-04-01	2011-10-01	6.0	none
A.6.8.1	0.054747	0.028742269001071387	0.0184260006572003	64	0.017352	11	-0.011390269001071388	0.011390269001071388	-0.0010740006572002997	0.0010740006572002997	h3n2_no_delay	2011-04-01	2011-10-01	6.0	none
A.6.8.2	0.010187000000000002	0.003537593416471523	0.0	10	0.0	0	-0.003537593416471523	0.003537593416471523	0.0	0.0	h3n2_no_delay	2011-04-01	2011-10-01	6.0	none
A.6.8.3	0.049305	0.027899119362282898	0.0005670000218741952	25	0.000567	8	-0.027332119362282897	0.027332119362282897	-2.1874195163529286e-11	2.1874195163529286e-11	h3n2_no_delay	2011-04-01	2011-10-01	6.0	none
A.6.8.4	0.547959	0.6889844623865851	0.36706399386184685	372	0.36706400000000006	249	-0.321920462386585	0.321920462386585	6.138153207935204e-09	6.138153207935204e-09	h3n2_no_delay	2011-04-01	2011-10-01	6.0	none
A.6.8.4.1	0.031899	0.033060595337323403	0.005541000438824979	13	0.002283	13	-0.030777595337323403	0.030777595337323403	-0.003258000438824979	0.003258000438824979	h3n2_no_delay	2011-04-01	2011-10-01	6.0	none
A.6.8.4.2	0.048501	0.0497441399948753	0.006259000095269435	19	0.006259000000000001	6	-0.0434851399948753	0.0434851399948753	-9.526943470228311e-11	9.526943470228311e-11	h3n2_no_delay	2011-04-01	2011-10-01	6.0	none
A.6.8.4.3	0.027544	0.0266601823688675	0.00017899999511428177	18	0.00017900000000000001	5	-0.0264811823688675	0.0264811823688675	4.885718240567327e-12	4.885718240567327e-12	h3n2_no_delay	2011-04-01	2011-10-01	6.0	none
A.6.8.4.5	0.00031999999999999997	0.00011433572845505628	0.0	10	0.0	0	-0.00011433572845505628	0.00011433572845505628	0.0	0.0	h3n2_no_delay	2011-04-01	2011-10-01	6.0	none
A.6.8.4.6	0.035975	0.0479195492478859	0.0221099983900785	12	0.024595000000000002	27	-0.023324549247885896	0.023324549247885896	0.0024850016099215028	0.0024850016099215028	h3n2_no_delay	2011-04-01	2011-10-01	6.0	none
A.6.8.4.6.2	0.00902	0.010957396205954501	0.0	2	0.004039	9	-0.006918396205954501	0.006918396205954501	0.004039	0.004039	h3n2_no_delay	2011-04-01	2011-10-01	6.0	none
A.6.8.4.7	0.104066	0.12629010961174325	0.14964699957090458	96	0.149647	103	0.02335689038825675	0.02335689038825675	4.2909542585789495e-10	4.2909542585789495e-10	h3n2_no_delay	2011-04-01	2011-10-01	6.0	none
A.6.8.5	0.057654000000000004	0.025600394178202132	0.6077399672212774	36	0.60774	300	0.5821396058217978	0.5821396058217978	3.2778722514059666e-08	3.2778722514059666e-08	h3n2_no_delay	2011-04-01	2011-10-01	6.0	none
A.6.8.5.1	0.025517	0.015856964713461156	0.0406289985403418	18	0.033077	19	0.017220035286538846	0.017220035286538846	-0.007551998540341796	0.007551998540341796	h3n2_no_delay	2011-04-01	2011-10-01	6.0	none
A.6.8.5.2	0.029646	0.008348007024258199	0.2606940024270442	10	0.5746629999999999	281	0.5663149929757417	0.5663149929757417	0.3139689975729557	0.3139689975729557	h3n2_no_delay	2011-04-01	2011-10-01	6.0	none
A.6.8.5.2.4	0.018524	0.005532107098060299	0.20632600567478213	6	0.205086	93	0.1995538929019397	0.1995538929019397	-0.0012400056747821353	0.0012400056747821353	h3n2_no_delay	2011-04-01	2011-10-01	6.0	none
A.6.8.5.2.4.1	0.001953	0.0003147110420732	0.1345080137252807	1	0.137568	47	0.1372532889579268	0.1372532889579268	0.0030599862747192896	0.0030599862747192896	h3n2_no_delay	2011-04-01	2011-10-01	6.0	none
A.6	0.999978	0.9999999999999727	0.9999199671019581	630	0.99992	608	-7.99999999726575e-05	7.99999999726575e-05	3.2898041957274415e-08	3.2898041957274415e-08	h3n2_ideal_delay	2011-04-01	2011-10-01	6.0	ideal
A.6.6	0.147174	0.11442497335885057	0.0054669998735333075	98	0.0054670000000000005	31	-0.10895797335885057	0.10895797335885057	1.2646669302063263e-10	1.2646669302063263e-10	h3n2_ideal_delay	2011-04-01	2011-10-01	6.0	ideal
A.6.6.2	0.014262	0.007609141688199373	4.5000000682193786e-05	10	4.5e-05	1	-0.007564141688199373	0.007564141688199373	-6.821937830717335e-13	6.821937830717335e-13	h3n2_ideal_delay	2011-04-01	2011-10-01	6.0	ideal
A.6.6.2.1	0.00997	0.005813313531647873	4.5000000682193786e-05	8	4.5e-05	1	-0.005768313531647873	0.005768313531647873	-6.821937830717335e-13	6.821937830717335e-13	h3n2_ideal_delay	2011-04-01	2011-10-01	6.0	ideal
A.6.6.3	0.129623	0.10624883674542289	0.005206999880101514	86	0.005207000000000001	29	-0.10104183674542289	0.10104183674542289	1.1989848697213645e-10	1.1989848697213645e-10	h3n2_ideal_delay	2011-04-01	2011-10-01	6.0	ideal
A.6.6.3.2	0.030130999999999998	0.015296441181174755	0.004341999863754576	13	0.004342	11	-0.010954441181174755	0.010954441181174755	1.3624542466450507e-10	1.3624542466450507e-10	h3n2_ideal_delay	2011-04-01	2011-10-01	6.0	ideal
A.6.6.3.3	0.091889	0.08815197064634409	0.0008650000163469379	65	0.000865	18	-0.08728697064634408	0.08728697064634408	-1.6346937909209047e-11	1.6346937909209047e-11	h3n2_ideal_delay	2011-04-01	2011-10-01	6.0	ideal
A.6.8	0.851056	0.8848739251206035	0.9944529672284248	530	0.994453	577	0.10957907487939655	0.10957907487939655	3.277157523129404e-08	3.277157523129404e-08	h3n2_ideal_delay	2011-04-01	2011-10-01	6.0	ideal
A.6.8.1	0.065216	0.03375863054768844	0.0184260006572003	62	0.017352	11	-0.01640663054768844	0.01640663054768844	-0.0010740006572002997	0.0010740006572002997	h3n2_ideal_delay	2011-04-01	2011-10-01	6.0	ideal
A.6.8.2	0.014355	0.00533397470236994	0.0	10	0.0	0	-0.00533397470236994	0.00533397470236994	0.0	0.0	h3n2_ideal_delay	2011-04-01	2011-10-01	6.0	ideal
A.6.8.3	0.045457	0.027745100116945	0.0005670000100508	20	0.000567	8	-0.027178100116945	0.027178100116945	-1.0050800035993346e-11	1.0050800035993346e-11	h3n2_ideal_delay	2011-04-01	2011-10-01	6.0	ideal
A.6.8.4	0.5807100000000001	0.7430666601158864	0.36706398226669906	345	0.36706400000000006	249	-0.37600266011588634	0.37600266011588634	1.7733300994304813e-08	1.7733300994304813e-08	h3n2_ideal_delay	2011-04-01	2011-10-01	6.0	ideal
A.6.8.4.1	0.033555	0.04683736438912864	0.005541000438824979	11	0.002283	13	-0.04455436438912864	0.04455436438912864	-0.003258000438824979	0.003258000438824979	h3n2_ideal_delay	2011-04-01	2011-10-01	6.0	ideal
A.6.8.4.2	0.040526	0.0458342267425217	0.006259000227146229	14	0.006259000000000001	6	-0.0395752267425217	0.0395752267425217	-2.271462280420411e-10	2.271462280420411e-10	h3n2_ideal_delay	2011-04-01	2011-10-01	6.0	ideal
A.6.8.4.3	0.032447000000000004	0.031069473027312	0.00017899999511428177	17	0.00017900000000000001	5	-0.030890473027312	0.030890473027312	4.885718240567327e-12	4.885718240567327e-12	h3n2_ideal_delay	2011-04-01	2011-10-01	6.0	ideal
A.6.8.4.5	0.00045000000000000004	0.00025463979057348957	0.0	10	0.0	0	-0.00025463979057348957	0.00025463979057348957	0.0	0.0	h3n2_ideal_delay	2011-04-01	2011-10-01	6.0	ideal
A.6.8.4.6	0.032545	0.0387383827687242	0.0221099983900785	9	0.024595000000000002	27	-0.014143382768724195	0.014143382768724195	0.0024850016099215028	0.0024850016099215028	h3n2_ideal_delay	2011-04-01	2011-10-01	6.0	ideal
A.6.8.4.7	0.121365	0.12213271822253711	0.14964699957090458	93	0.149647	103	0.027514281777462887	0.027514281777462887	4.2909542585789495e-10	4.2909542585789495e-10	h3n2_ideal_delay	2011-04-01	2011-10-01	6.0	ideal
A.6.8.5	0.068174	0.03241764889564572	0.607739984290674	34	0.60774	300	0.5753223511043543	0.5753223511043543	1.570932595118535e-08	1.570932595118535e-08	h3n2_ideal_delay	2011-04-01	2011-10-01	6.0	ideal
A.6.8.5.1	0.035949	0.02324648032883508	0.0406289985403418	18	0.033077	19	0.009830519671164922	0.009830519671164922	-0.007551998540341796	0.007551998540341796	h3n2_ideal_delay	2011-04-01	2011-10-01	6.0	ideal
A.6.8.5.2	0.028716	0.0071557561363613	0.2563940063118933	8	0.5746629999999999	281	0.5675072438636386	0.5675072438636386	0.3182689936881066	0.3182689936881066	h3n2_ideal_delay	2011-04-01	2011-10-01	6.0	ideal
A.6.8.5.2.4	0.013047	0.0032175847819152	0.2020260095596312	4	0.205086	93	0.2018684152180848	0.2018684152180848	0.0030599904403687817	0.0030599904403687817	h3n2_ideal_delay	2011-04-01	2011-10-01	6.0	ideal
A.6.8.5.2.4.1	0.00275	0.0003859876907186	0.1345080137252807	1	0.137568	47	0.1371820123092814	0.1371820123092814	0.0030599862747192896	0.0030599862747192896	h3n2_ideal_delay	2011-04-01	2011-10-01	6.0	ideal
A.6	0.99998	0.999999999999981	0.9999199341691554	465	0.99992	608	-7.999999998098417e-05	7.999999998098417e-05	6.583084466438294e-08	6.583084466438294e-08	h3n2_realistic_delay	2011-04-01	2011-10-01	6.0	realistic
A.6.6	0.11891000000000002	0.09954063369391078	0.0054669998735333075	70	0.0054670000000000005	31	-0.09407363369391078	0.09407363369391078	1.2646669302063263e-10	1.2646669302063263e-10	h3n2_realistic_delay	2011-04-01	2011-10-01	6.0	realistic
